,Clean_tweet,label
22811,"josephjett ""fatherhood: nor shall you engage in aberrant social behavior, then call that resultant disdain that is merely commona|",1
29911,stop trying to find where it isn't even happening!,1
11830,sea shepherd suppoers are racist!,1
8062,the bearas rapacious hunger for oil also sealed its doom. a|,1
6486,did you vote for this animal america: no fat chicks,1
10650,our most popular post this year was brilliant take on,1
13288,and you will hear kurds are free and equal citizens. like state's mouthpiece 'journo' claimed.a|,1
12206,not even trumpas transition team wants to deal with carl comments about the obamas - vanity fair,1
31178,isn't it time we realized what we've done: read america's history!,1
23974,"hope to see none of you inauguration wait, i won't be watching the anyway",1
31930,why is ignored,1
13788,"so, what are you saying, blacks = criminals?",1
20380,nick cannon speaks out against the systemic of via,1
6574,d own team up with &amp; show what &amp; combat,1
9306,"if krakow is so beautiful then go &amp; stay there, &amp; let us build our &amp; here uk. i have east european",1
16652,snatch that wig off james brown head &amp; get her out !,1
5386,have the balls to it and expose me as a racist.,1
22542,"we were here before such a bridge appeared. your denial of indigenous first people is racism. ergo, you are a|",1
26846,"the latest ""say what?!?!"" thanks to",1
9356,the idiocy of feminism. they actually think microaggressions matter. here's the proof:,1
12381,you might be a libtard if...,1
4240,this should have been enough 2 just say no a|,1
6908,"have we ever had peotus willing to complain abt his defeated opponent &amp; pay well after election over, and to do sa|",1
26308,retweeted baycat (@user msg of for a business to end .,1
8598,in chief- the gangs all here more at,1
11294,porn video smoking porn fetish,1
22635,needs to exit the political and journalism world. exit stage left.,1
7194,ouuh fuck it!,1
987,"""no im not attracted to asian ppl bc im not asian"" what if i tell you no im not attracted to u bc im not (inse race here) hoe",1
28923,word factory: race denial prevents healing! +5,1
28936,couldn't have said this any better nor truthfully donny boy. a|,1
22529,are you so bitter because you're a who lost the people by 3 million?,1
19891,"w/ props, was not nor was he white. those who promote the need to be called vile scum.",1
7824,you might be a libtard if...,1
20060,racist democrats falsely accuse latina nominee &amp; raid her business just to embarrass gop prez whoa|,1
9400,people spit on the face of,1
23651,seriously got rejected by my driver as soon as i got in the car because i'm white... wow! at its finest!,1
11142,ally carl paladino said first lady should go live in a cave with a gorilla prick,1
8233,kinda digged the white chick tho thought she was gonna win but guess,1
28111,this simplistic worldview exists today in the 10 second soundbite. . a|,1
12844,pay = pay = pay = pay = = .,1
15072,melania is helping me write a speech to end in the us. the title she came up with is great - ai havea|,1
24928,", ""forever pure - and in on a|",1
31772,"destroyed many lives,but mad &amp; bad policies have destroyed more.",1
7441,just asking....oh and of course black people can be racist. that belief in itself is superior and by definition is .,1
18818,the uk governmentas new definition conflates with valid criticism of | opendemocracy,1
26814,ally carl slammed for ' wish list for - nbc news,1
11093,to say that all muslims hate america is to suggest theyare all the same.,1
14049,perhaps the would be happier if was a bit more like what a hero,1
5845,you might be a libtard if...,1
2850,"disgusting racist thugs, look forward to him going back to jail",1
12794,my family's horrible attack at in thyini thiza! we want ta|,1
31594,you might be a libtard if...,1
24245,jokes about women penis humping girl,1
27735,all war is violent (except perhaps in thailand). a|,1
8374,so far all the blog comments claim senad lulic statement wasn't racist. join the debate.,1
24904,powerful women work for trump !!! racist sexist never bash trump again.,1
23305,smooth new year's eve! marijuana unleashed at ibooks.,1
31604,dwyane wade if you hate,1
14921,america is great without you assholes. and aren't what,1
31934,lady banned from kentucky mall.,1
6305,tell that jeffery beauregard to quit foolin' around and come pick up his hood &amp; sheets for saturdaa|,1
9401,sea shepherd suppoers are racist!,1
15525,it's clear that we're having a crisis of in this country. so what do we do about it? read,1
25113,"history won't forget how barack obama was treated a!i, by via",1
1241,"although, i am not a , a or a so i hope that i still qualify.",1
23873,says who?! your iq is so low u have 2stand on a highstool 2raise your iq. we both know is aa|,1
22417,vandalised in in condemns act,1
13821,i guess they'll go back to just yelling again.,1
16645,carl paladino is a former trump campaign official.,1
25620,now comes with a as four groups are given,1
9822,"holiday fun, socially relevant! celebrates '70 bewitched xmas ep",1
26602,"have you joined the pizza pay? we're talking , the and .",1
1779,i thought alt-right secretly meant white nationalist,1
16222,the problem is that thereas no space for alternative explanations.,1
31501,"also, you can't love the usa with all your hea and then suppo trump. because he hates half of thea|",1
8290,haha i get it,1
16733,man kills stepmom for celebrating win,1
19490,save the date! 1-4-2017 sourcenation! live wed 8,1
9768,i really should have gotten more credit for this one.,1
16054,comment on reveals once more the disgusting reality of and in circle,1
17083,good morning! bud and breakfast? marijuana unleashed at ibooks.,1
30444,billionaire chair of trump says he hopes obama dies and michelle goes back to being a male ape in africa.,1
8031,"ado asians need higher test scores? is it harder for to get into college? the answer is yes,a",1
17512,was subjected to and she fought back hard!,1
28907,video men and women in bed without clothes nude mother son sex,1
19406,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|",1
7156,"tonight in proudly presented by goverment, police + media! it's a big staging going on there!",1
17116,today 1000 s!,1
9500,welcome 2017 touches new heights!,1
3473,we were talking about obama and your and stay on topic.,1
29814,all of you need to stop being racist and just let the terrorists kill you. aC/,1
7063,is mexican a language? dude it's obvious you back trump. he said he loves the uneducated.,1
12705,extending your hand &amp; uniting merica is unprecedented!,1
5888,indianapolis colts black cheerleader hugs boy who used slur. so. much. class,1
9166,"hey you piece of , obama will always be more of a than you ever will",1
27895,a message of for building a business to end,1
11618,no immigration for 50 years? white nationalist leader unloads 5 of his most horrifying hopes for america,1
9324,this who tweeted this sewage below doesn't understand why he and,1
1709,hope to see you at the show,1
30704,awesome. black man gets kkk members to disavow by befriending them,1
1485,1 get your own house in order 2 when you returning stolen land,1
15609,"aaall men are created equal,a and if we donat believe ita|maybe we should stop saying it!a - hube humphrey",1
16273,"she resigned today from the ""chaer"" school.",1
11161,"nazis continue to target jews, businesses in",1
16102,i agree that wouldnat have won the w/o much in same way wouldnat win w/o the a|,1
17280,are you &amp; a| like the are stomping on you? listen,1
3717,jeff sessions omits decades of records for his ag confirmation hearing you can't hide,1
6180,all women's facility or program = cool! empowering! all men's facility or program = gay or misogynistic.,1
13681,"d it's there, it's dalthough i'm told that andrew jackson was and also",1
9081,nothing about the soul has fled the,1
9119,the media distos the threat of islamic extremism. a|,1
24201,a| you &amp; feel like the are stomping on you? listen,1
27900,you might be a libtard if...,1
28737,you might be a libtard if...,1
31047,sex top 10 porn video,1
11340,the waiter was black himself.for fuck sakes!stop looking for fucking under every rock.a|,1
6882,nick cannon speaks out against the systemic of via,1
3339,launching in january! stay tuned for dates!#letstalkabout,1
23662,are you &amp; feel like the are stomping a| you? listen,1
19115,are you &amp; feel like the are a| on you? listen,1
7663,"stuakenyon81 swiftly sharpens the fang , &amp; eevalancaster",1
29087,after being a of a (i was called a cr*cker) i now truly what it feels like to bea|,1
6045,the countdown till these assholes are gone obama and moron creepy uncle joe! bye bye scum!ddd 1/4,1
16446,has happened far too often,1
22272,you're running out of bitches to you d(c)d(c)d(c) d(c)d(c)d(c),1
25653,i will suspend my funding of u.s. gov until resigns,1
15740,the term jihad is a highly-contested concept. a|,1
1047,todays donkey is proud of murdering real palestinian semitic children - thats what i calla|,1
28050,"btw, was a . in adores him (withoa|",1
5958,"holiday fun, socially relevant! celebrates '70 bewitched xmas ep",1
22719,"iave had my id checked by the police zero times in 8 months. of course, this discrepancy has nothing to do i'm a wha|",1
8993,excellent! rambling about: the alt right (@user d,1
24944,are you &amp; feel like the are stomping a| you? listen,1
15884,i know who my real niggers are. all fake niggers &amp; uppity niggers get deleted. life's too sho for bs a|,1
735,standing up to racism and hate by americad not curse out congress and all haters who are deplorable,1
23394,: i can't wait nothing good of a (racist) and ( misogynist) than see to the women like animals.,1
14836,don't forget the women who are misogynists!,1
11345,dear please give us a multi-racial &amp; objective list to prove you are not in your selectiona|,1
31661,as us citizens we find ourselves in a period of great contradictions. ie..#fascistdemocracy seems to be...,1
7583,how does it feel to be most hated potus ever?,1
17823,are you &amp; feel like the are stomping on you? listen,1
26227,hair is no mystery &amp; he may be but he's not averse to a few tips from black women.,1
21602,ny cunt campaign co-chair unleashes on in 2017 wish-list: via,1
30079,vandalised in in condemns act,1
26606,she didn't get far,1
14202,right wings members back to fpA,1
3506,speaking of in and ddd cc,1
746,used and to win the white house presses attack on khan family and g.o.p. leaders,1
10596,that's why bilal called the adhan on the kaaba always existed hamza yusuf that was not nice d,1
11458,because many of us find obama's policies repugnant does not make us you're liberal raca|,1
7043,"so, no one, no one, in line said anything... silence is complicity in racism. speak up pea|",1
24012,jeff sessions tries to delete decades of ....,1
27715,the latest eco news of the day! thanks to,1
20269,went on video for,1
15694,how is it that a man comes in last in a race but he is declared a winner?,1
17336,sea shepherd suppoers are racist!,1
12894,amateur spanking vids against women in the workplace,1
1504,"just coz their is a few of these vids, dont mean they are not woh wotching, they are there hilarious, a must watca|",1
860,black professor makes assumptions about an entire race whilst speaking for entire race. next week the jews!a|,1
20971,you areclueless buddy regarding long standing american policy. you comments are reflections of ignorance and,1
27005,bill you're a fucking disgrace take your ass to russia...ddd,1
20045,white nationalist leader reveals 5 of his most horrifying hopes for,1
8768,the latest the blicqeraC/ daily! thanks to,1
29463,this diagram explains trump's response to orlando,1
18629,are you &amp; feel like the are stomping on a|? listen,1
15314,ha! good riddance!,1
13649,because trump is a &amp; a all provena|,1
2839,you might be a libtard if...,1
19280,dear please define and what do you and or intend to do to adda|,1
9495,what does have against via,1
9708,"trump, brexit based on misconceptions about race and nationality, says renowned philosopher | cbc radio",1
10053,classy!,1
27520,are you &amp; feel like the are stomping on you? listen,1
21177,while and attack fellow with and the real enemy laughs at our gates.,1
9344,go fuck yourself richie. we like it and it's not going anywhere! d$?,1
14781,"are they also free to marry who they like, and live where they like? no.",1
17963,bout to play the game lol,1
15380,"""these are times of grave danger,with dissent recast as treason, unchained and intolerance on the march""&amp;ita|",1
2097,"argentine women protest facebook's sexist censorship rules, eg 2.",1
19385,white girl has sex with black guy best world sex,1
27947,"stones and humans are different, but to gravity thereas no difference. a|a|",1
30860,"is trafficking in ? &amp; his ""for profit"" use of the word nigger to sell music",1
6207,so when is your next klan meeting?! my wife isn't white &amp; i'm proud of her &amp; our love. we are each others gift froma|,1
31865,see what is doing in destroying masjids,1
21122,f*** this d|do government that deliberately toures we just had a coronial inquest into death &amp; business as usual,1
5593,are a| &amp; feel like the are stomping on you? listen,1
31608,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
11693,"is ? please stop this ""offended culture"" madness!",1
27632,is defunding aboion and sending you to the,1
23304,"your comment = a! 5,- donation for a$? + suck",1
25894,that's how you got in . by being an australian doing shitty things .,1
12129,ark man discoved racist graffiti on his car after a quick errand,1
8505,classic ! yet you jewish bastards wonder why you are sooo hated in the world.,1
31777,bringing back morals,1
13468,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|",1
17689,"and it ""goes without saying"", he's a too.",1
31343,malia shake that ass! you so fine!.....pass the blunt,1
28833,.@user unbelievable aicle! tip: it's never ok to tell someone they cannot procreate! m or f!,1
6389,when the waiter asks if he wants to eat the plate aswell...,1
31637,you might be a libtard if...,1
30707,lol these pasty cakes telling the to quit b/c of her choice not to suppo your asshat president is pure comedy. weirdos,1
24857,are a| &amp; feel like the are stomping on you? listen,1
3621,porn blue tube office woman,1
25751,it is truly sad. a who lot of working class men resent being offered help by a woman. evolution still has a lot ofa|,1
20575,you all look like 6-year-olds posting dictionary definitions of &amp; acting as if that proved some point.,1
14270,explain your actions. netanyahu you can not claim discrimination when u do it yourself to others.,1
9566,boob naked assault,1
11438,many toy adves are and show 'narrow and limiting' study warns via,1
28345,must be heabreaking for within to find they're helpless againsta|,1
14286,now ask yourself if you really want to follow i'm done.,1
21705,"in the when you &amp; all those rags that only spread propaganda, fear, hatred,a|",1
15854,are you &amp; feel a| the are stomping on you? listen,1
12064,racist austin police ofc cameron staff,1
25638,"still needs help. thinks he's survived. we need to get him out of office, asap.",1
19745,"ohio trump campaign chair kathy miller should have said ""i didn't have to hear about before",1
12336,care about follow me: i cover a|,1
26859,"they are, but laws against whites protects blacks in",1
11621,will the alt-right promote a new kind of genetics? mt,1
11263,"and don't forget, that per megyn kelly of jesus &amp; santa are also white.",1
17708,why is ignored,1
25229,outrageous racism from rother dc. hope the families sue 4 failing to follow advice for a life guard &amp; causing the da|,1
1912,"if you look at a problem and the first thing you thing of is color, be it black or white. you're pa of the problem",1
2537,this much and was 'too much' for 2016. let's hope will get less dd*,1
1783,no hitler comparisons?,1
10645,"can ""whites only immigration"" make america great again? via",1
18858,i thought she had 72 assistants.,1
11791,smoke out the old year and new year at the same time! marijuana unleashed at ibooks.,1
11611,trump ally wishes mad cow disease death for obama,1
8001,video men and women malayalees xxx picturebangladeshi,1
30839,brother &amp; are nothing new... that whole debacle would've went downa|,1
8552,campaign co-chair unleashes on the in 2017 wish list | mic,1
3775,buffalo parents rally to remove trump ally carl paladino from school board after remarksa|,1
515,the more familiar we become the more difficult it is to stereotype. . a| a|a|,1
21368,the latest the seattle daily! thanks to,1
21540,"the feeling's not mutual, you , islamophobia, , d",1
18544,this is our time to against evil men such at and his and,1
7325,vps got multi-million dollar bonuses while average americans lost their homes.,1
6015,movie-mad indians challenged to rewrite sexist bollywood songs a|a|,1
2044,"seriously lede. come on, you can do better.",1
19417,just saying they would have let a guy fall to the ground and get wailed on for 10 seconds before calling the fight,1
8171,racist old woman is america oldwoman,1
30699,why is ignored,1
10797,is what the lds church stands for? who knew?,1
15242,"don't forget, - research shows that sexist men have psychological problems.",1
6756,community: look at,1
27045,fights against in various municipalities such as in naboomspruit area,1
30268,you might be a libtard if...,1
994,who defines ?: historically or historic,1
30350,woman in cou on racism charge,1
9120,"the more familiar we become, the more difficult it is to stereotype. . a|",1
14444,research: and played greatest role in by,1
5005,he should turn in his resignation.,1
232,"if you hold open a door for a woman because she's a woman and not because it's a nice thing to do, that's . don't even try to deny it",1
6240,against &amp;,1
9882,great to see quebec is establishing a provincial inquiry into systemic &amp; towards indigenous ppls,1
22085,sea shepherd suppoers are racist!,1
21813,greed is killing our planet and the human race,1
16668,the cold war was fought over oil. a|,1
8527,"you're the one who should be leaving this eah, you piece of shit!",1
23050,this motherfucker needs to be in acharles paladino's racist comments spark calls for resignationa,1
15061,wew i only know they are diff couples when i look at the guys. d,1
3428,was of my late daddy and my teacher. eu easteuropeans are,1
3781,"hey, - what is going to be done about this teacher making statements?",1
26100,are we entering a new age of ? a repoer reflects on the hate crime beat,1
9785,why is ignored,1
10945,here's being a racist troll. would love for you to spread the word,1
22249,"apparently taragon is not a ""christmassy herb""",1
13536,so much in these on posts,1
9519,confessions of former neo-#confederate.,1
31484,sea shepherd suppoers are racist!,1
14449,adam saleh is a racist is,1
19658,"ppl wait for 10 hrs airpo, miss connecting flights, put them on flights 24 hrs later, aa|",1
131,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
3138,you might be a libtard if...,1
23081,tremendous oppounity to move our country back 75 years into ove and tax breaks for corps.,1
1742,i wanna be fucked ! my id 13479 meet me here,1
17763,along with make me go through hell d!da|,1
4594,leader reveals 5 of his most horrifying hopes for america,1
12850,jonjo shelvey = the only man ever to racially abuse someone without saying anything!,1
4605,win with dignity you chauvinist pig.,1
4303,.@user gives white nationalist troll a platform to spread his hate. won't be reading/buying any of their booa|,1
21647,"i really don't think this is an exaggeration, so i'll keep sharing every time it comes back around. vote =a|",1
2005,why the elects presidents,1
8277,"bullshit, he was thrown out for being a muslim",1
5621,suspected henrico vandal's mother: 'my son isn't racist',1
12515,islam against racism,1
12238,re: your message of - god loves people. is not just about color - it's about hate &amp; you preach hate!,1
18817,are you &amp; feel like a| are stomping on you? listen,1
12315,oh just fuuuuuuuuuuuuck right off,1
25916,book - in a global age ht,1
22146,obama has been the most destructive president in history &amp; that is his legend.,1
8904,the latest thanks to,1
22140,listening to sam cooke in this ridiculously packed pavillion's to help keep me calm,1
26163,are you &amp; feel like the are stomping on you? a|,1
18885,it impossible to be and hateful of someones skin color or social status or gender and believe in,1
4616,chaplin - the dictator speech via,1
354,you might be a libtard if...,1
19387,"so what. jewish, kwanza, jehovas witness.",1
13185,how can sainsburys have no red stripe?? ddd,1
2750,has happened far too often,1
22780,in america: 'kill obama' and not welcome here' signs in new mexico draw criticism,1
23677,by the time you get to saying you've already missed the point.,1
27757,you might be a libtard if...,1
1542,"i felt that lawrence fishburn was added as the ""magical negro"" hollywood stereotypes are made of!",1
763,the danger of white liberalism to oveurning (applies to liberal men and feminism too),1
20361,:@ 2nites service look back of ur bible 4maps where biblical events took place. jesus &amp; his disciples r ppl of color. d+-,1
22918,"so, who do you think told those dictionaries what is?",1
5240,if reginald mcfadden had face to face interviews about being then commutations would be possiblea|,1
13547,why is ignored,1
8259,the anc never prosecute that type of offences against white people. just listen to zuma and malema and you know why.,1
25598,"you forgot russia since been betrayed by trump and this has never happened b 4, putin will soon slit his throat.",1
10197,proved my point-. and i hardly think teen vogue classifies as fake news. you just don't like her opinion,1
5851,"but! i'm also correct whom our enemies are, and whom to ally with; to rid ourselves of , and join together in what we have in common",1
19677,"a it's vital to address porn's influence when discussing , sexual abuse, and demeaning language about women. hta|",1
13502,you'd think would b protesting 24/7 but it doesn't fit their,1
31948,"makes you ask yourself, who am i? then am i anybody? until ....god . oh thank you god!",1
19975,to all those from ain't a in da blm,1
912,non stop election i blame for hiding for 8 years 2016 pittsburgh california,1
30133,time to &amp; boycott who gives book deal to troll banned by twitter,1
1116,no 'racist intent'? is this guy joking? via,1
2157,"harbaugh had no time for stupid questions about bikinis. thank you, no time 4 . via",1
12979,stop calling ! i've met him. bbc is more than he. he's got big work ahead.,1
6064,"man, sees me wearing manchester united hoodie: are you a fan? me: yes! man: are you sure? do you even know one player?a|",1
7442,you win douchelord of the year. good work.,1
12842,"vs is unabated in because how can there be such a thing with ""killer cops"" &amp;a|",1
29423,"pre-crime in germany of all places, did they make them wear badges ?",1
432,absolutely originated in hateful hatred of our african american,1
14323,"your comment = a! 5,- donation for a$? sucks",1
15768,"trump ny co-chair: i want obama to die of mad cow disease and michelle to ""go back to being a male""",1
31606,i'm not i just hate those muzzies !,1
20668,because trump is a &amp; a all proven by his words,1
24855,"', ugly' comments on the embarrass new yorkers",1
14667,"""forever loyal to the city of buffalo"" you have a real class act there",1
19431,should be fired if she thinks choking a child and the wrongful arrest of the parent is acceptable.a|,1
7243,pathetic fallacy? infantile ? just in case anyone wondered whether had a brain we have prooa|,1
3296,lessons to be learned why do we...hate? don't shoot d messenger...just press aaaplay aa...,1
26663,are you &amp; feel like the are a| on you? listen,1
28159,is more towards whites than and combined.,1
24342,its always a white christmas in my household,1
15011,commercial showing inter-racial couple attacked by suppoers,1
8682,both &amp;,1
1768,"abe government is mere puppet of ultra rightist group ""aeY=ae!a 1/4 edeg(japan conference)""",1
13425,sign that i checked a bag at iah. every. single. time.,1
10249,total asssss...worst mistake ever...lord help us all...,1
28434,omits decades of records for his ag confirmation hearing a| no surprise from this,1
12628,how is it that a man comes in last in a race but he is declared a winner?,1
12671,you might be a libtard if...,1
9688,are a| &amp; feel like the are stomping on you? listen,1
16058,"hey carl paladino, looks like ""you're fired!""",1
23725,hey you own . nobody comes close,1
263,"this man ran for governor of ny, the state with the biggest african-american population",1
6951,factophobia ale with people in 2017 who use following words:,1
4512,video men and womenmalayalam girl with dreads porn video,1
19033,"if you are a non-racist white, other minority don't serve in military while in power",1
22420,no comment! in,1
21365,"the real and are and the minions, not freedom loving americans",1
29970,the kind of we can expect in amrica,1
23888,the latest the merocrush daily! thanks to,1
8124,'racism w/out races': classifying humans into races the biggest mistake in history of science. racea|,1
19234,the main stream news media like was busily covering a small hand misogynist to notice..,1
3169,work out the idea of creating a substantive argument and making a point rather than calling names.a|,1
23827,so sorry,1
25019,michelle obama aape in heelsa case is just the beginning::,1
23459,is just as as her husband.,1
26696,what you should know about .,1
3080,you might be a libtard if...,1
22549,the only,1
21622,free girls pic galery girls fucked,1
7464,"engagement to a white . after he calls her a nig$a, it will be over!",1
19589,this is the type of trash trump and paladino attract.,1
16666,cutsie logic but wrong. if you know construction you can build bridges and walls! give trump a chance! hate is fora|,1
15340,"like all religion, islam is a strong unifying force. a|",1
30372,"agreed.. the same is true for and .. they are overused terms, and as a result, are fast becoming meaningless.. d$?",1
10223,will send you to the inauguration~ join today!!,1
21670,why does this get so low key of a play when trump's foolish request to change judges got wall to wall coverage?,1
30902,i am just waiting for somebody other than you to call me a . i don't see anybody doing it.,1
28294,'wish list' of cretin co-chairman of on mr&amp;mrsa|,1
28897,let's do this!,1
23129,your comments are reflections of ignorance and world,1
26670,it is truly sad. a who lot of working class men resent being offered help by a woman. evolution still has a lot ofa|,1
5079,these white boys (yea calling you boy like you did/do us) like etc annoy me!,1
27902,hot off the press! the nikita news is out!,1
6043,if you truly stand for equality then none of these can be acceptable. a|,1
25863,everyone ask why they endorse such blatant,1
18954,was subjected to and she fought back hard!,1
12826,white: good dark: bad itas a twisted version of thatA makes india racist against its own people!,1
29913,bernanke bailed out wall street by dumping $600 billion into the largest banks.,1
14638,"white people, black people, brown people good &amp; evil is not a color!",1
8954,the problem isnat that everyone believes this caoonish rendition of the facts a|,1
15522,thank you comrade is it erica avenue? i am making a stop at to find out why she doesnt hire indian domestics,1
22058,racist austin police ofc cameron staff,1
26212,,1
28796,finally!!! action!!!,1
14349,vandalised in in condemns act,1
156,"as the smaller hands show, barry probably lied about being why his game sucked more than his",1
28613,what think about :,1
10898,are you &amp; feel like a| are stomping on you? listen,1
15158,everyone blamed black/brown communities for crack; who's to blame here?,1
21913,he's a what did anyone expect?,1
1382,just because you are self-loathing doesn't mean the rest of us are. the only weapon you have is to yella|,1
11943,you might be a libtard if...,1
22178,"lesson from history, choose carefully; main l. king / malcolm x :: reconciliation / vengeance",1
7267,"why do refer to everyone else as racist. simple, they're projecting their intolerance.",1
4230,thank you mr. president obama. the light that revealed darkness in we the people of the usa. we are stronger.,1
30022,"why? please explain to us why we're, ""bad.""",1
28449,mark levin reveals amissing historya of the pay that... via,1
21385,how is it that a man comes in last in a race but he is declared a winner?,1
11804,"how about a qualifications trc, professor bozzoli?",1
111,i'm not interested in a that doesn't address &amp; . racism is about bringsa|,1
8247,"as a student in 89/90 in a bar i stood next to a white man who said ""i don't do pakis""",1
28558,co-chair '#gorilla' comment about 'damn,1
14371,you might be a libtard if...,1
30163,can math help defeat ? -,1
23204,cult.,1
24212,racism &amp; fascism will not get you ratings a&amp;e. people will every time.,1
19994,the latest the cognizant blogger! thanks to,1
24902,sexism may be harmful to men's mental health...#men,1
16559,you might be a libtard if...,1
8974,"pure today in everybody looking arabic is kettled, female friends had to leave for better pics of media. presented by gov",1
10443,the latest the equality echo! thanks to,1
23481,wow really cool!,1
24026,"after 8 yrs of endless lies, contempt from a left activist, u realize with clarity he never came clean w/usa|",1
6803,"whining ""women have it so much harder than men, cause .""",1
23899,hot girl sex games white girl has sex with black guy,1
12306,carl paladino needs to lose his school board seat. what a disgusting,1
13249,"not surprised how ""news"" outlets call opposition to race-mix ad . they hate racism, though. i embrace it. ad is sickening-",1
15722,"if you are a non-racist white, other minority don't serve in military while in power",1
18855,"pa 2 of trumps tweets: after his "" coulda won if i wanted 2"" now using putin to project his anger cuz we hate him!",1
3699,i'm defending a woman against condescension. although i saw you tweet that she belongs in the kitchen,1
10755,barack gets real about the he in office via,1
4186,excellent idea! dig deep &amp; hang 'em high! a|,1
10604,"""most boys can use a drill..."" really? :-)",1
11118,easy. you're a and a,1
22078,"of course liberals see everywhere, they are looking at the world through racist eyes.",1
13561,"coming from an ultra like surprise surprise at least they can play golf dod,",1
18392,haha really great!,1
28092,anothr 1/2 a|,1
21284,fl woman screaming racial slurs aims gunas laser pointer at black mcdonaldas customer a|,1
19937,reject news - my latest aicle on,1
3864,trumps wall is not about . the coal fired electrical producers need to dispose of fly ash stockpiles.,1
5128,"i think his the worst in everything, his hatred towards our country was too much",1
27518,a good man or woman is measured by stable relationships with opposite sex. not cliches or semantics,1
18460,my boss fired me due to alleged . i told him i hated everyone. honestly how much more committed to does he want me to be?,1
13132,1/2 we're told over &amp; over that laws are need to &amp; realia|,1
12745,nothing. that would be .,1
2087,for hate crimes watch the in never seen so much hate against the poor like in thisdod>>d(c),1
17857,thought factory: left-right polarisation! +12,1
19396,commercial showing inter-racial couple attacked by suppoers,1
2796,"""the education of public servants is a critical pa of the path forward..."" so true.",1
25319,you might be a libtard if...,1
28727,is guilty of treason ! we must naked raygun treason,1
25074,"'an unappetizing scam' :-) | women, we need to throw off the shackles of | |a|",1
31196,for is in u.,1
1858,a|you &amp; feel like the are stomping on you? listen,1
7511,"fuck off, we're full.",1
4558,dear politicians &amp; media this jind insident is not but a matter of &amp; safety of women in india,1
20787,"most deaths caused by islamic extremism occur in civil wars, not terror attacks.",1
16257,fuck donald trump! he will never be my president!,1
5784,are you &amp; feel like the are stomping a| you? listen,1
18682,doesn't arrive doing a salut.but in a sharp suit,1
31460,you might be a libtard if...,1
13278,great aicle of truth about needs. comments back up why it's needed. - via,1
5019,bout to spend new year's eve playing the game lol,1
27986,why is ignored,1
19224,quotes about women kingfisher girls xxx,1
10110,it is people like you whom they've come up with the terms for like and,1
14108,becoming ugly mt,1
20021,"you have no balls, lumpy. my girl was spot on. lumpy tony says i am a . prove it lumpy. bwahahahahaha",1
23486,how's mars bar in charging guys APS5 for entry and girls APS2? isn't that like modern sexism?,1
3337,new video shows how this guy and how he staed to abuse and humiliated an muslim guya|,1
23534,and the movement,1
31492,you might be a libtard if...,1
17180,wow was a real at times back in the day on great more talk,1
4700,precisely why the deplorables are up in arms,1
4712,nothing would be more dangerous than to give the impression we accept,1
14915,i never been thoughj experience &amp; i never looked at caucasians any differently ~ watch this,1
863,when they call us they are really saying they are jealous of us wa|,1
27750,transsexy naked boob,1
13827,"this is and the rape of land that is not theirs at all for dud,",1
20427,your comments about mrs. obama are offensive and fuher confirm that you are a racist jackass.,1
8091,my story: how and have played a role in my life -,1
14024,"""#trump won because has gone too far."" you know what you never heard? ""#obama won because has gone too far.""",1
15570,thinks we won't notice as he redacts decades of ove in his application for ag confirmation.,1
7177,"like all religions, islam is a strong unifying force. a| a|",1
13306,the bearas rapacious hunger for oil also sealed its doom. a|,1
13990,why is ignored,1
16178,when you don't want to read dd 1/2,1
20121,comments about the obamas make him a late contender for the most loathsome character of 2016,1
3001,dear is &amp; lies. should never unite with leavers. have a shit christmas lady,1
13659,incredible content!,1
12676,"no, jissus man, why do pple wait for the festive period to upset others. rightfully, we all should be outrage whenea|",1
5013,and helps it helps and hus everyone everywhere,1
2606,most problems can be solved by talking to each other instead of about each other.,1
21849,has demonstrated disrespect against for 8 yrs! gop feigned outrage is full of excrement!,1
3656,if itz not to malign a black woman abt raising her son instead of arresting the white man who choked him,1
10026,someone find this man,1
27189,given the looked to jim crow for inspiration this is especially true regarding what to expect froma|,1
5197,this is beyond upsetting. i was one of her biggest fans.,1
31364,america isn't racist. their are a plethora of reasons for someone not to like obama. you're ignorant in many fashioa|,1
8074,the truth about &amp;,1
29630,"racial differences r biological reality, same as rottweilers vs. chihuahuas. iq&gt;95 should understand.",1
1463,tyler perry claims areverse racisma by critics of his tlc series,1
7281,dear you are a asshole. please go fuck yourself.,1
3714,stop these chelski fans.,1
18962,thought factory: left-right polarisation! &gt;6,1
1760,this our b 2 end problems like &amp; by turning 2 god of,1
8803,"carl paladino, trump ally, wishes obama dead of mad cow disease in a17",1
5950,how is it that a man comes in last in a race but he is declared a winner?,1
31505,greetings from the us to the world!,1
11577,we need more aicles like this from on positive narratives against .,1
15386,clintonas ainvisible hand joba championed by conservatives on the right. a| a|a|,1
5053,you can go ahead &amp; change your profile pic. hepburn was an ambassador to unicef &amp; your ignorance would havea|,1
15183,no such thing as the community. the most &amp; i've experienced has been from white gay men.,1
2467,fox news anchor tells to astick to thigh-high bootsa rather than politics,1
